INFO:root:LSTM Pure PyTorch: hidden_dim: 32, n_epochs: 740, batch_size: 2048.
INFO:root:Trace path: data/flipped/1556.csv
INFO:root:Prediction window = 100.0 ms
INFO:root:MAE position = 0.06623777770996093
INFO:root:MAE rotation = 2.24706348790323
INFO:root:RMSE position = 0.1294849
INFO:root:RMSE rotation = 2.8203222022493555
Traceback (most recent call last):
  File "/opt/conda/lib/python3.7/runpy.py", line 193, in _run_module_as_main
    "__main__", mod_spec)
  File "/opt/conda/lib/python3.7/runpy.py", line 85, in _run_code
    exec(code, run_globals)
  File "/opt/UserPrediction6DOF/__main__.py", line 45, in <module>
    APPLICATION.run()
  File "/opt/UserPrediction6DOF/application.py", line 91, in run
    self.run_lstm()
  File "/opt/UserPrediction6DOF/application.py", line 138, in run_lstm
    runner.run()
  File "/opt/UserPrediction6DOF/runners.py", line 394, in run
    'euc_dists_lstm_{}_{}ms.npy'.format(basename, int(w * 1e3))), euc_dists)
  File "<__array_function__ internals>", line 6, in save
  File "/opt/conda/lib/python3.7/site-packages/numpy/lib/npyio.py", line 525, in save
    file_ctx = open(file, "wb")
OSError: [Errno 30] Read-only file system: './results/tabular/distances/euc_dists_lstm_1556_100ms.npy'
-------------------------------------------------------------------------
-------------------------------------------------------------------------
X_train (71999, 11), X_val (24000, 11), X_test(24000, 11), y_train (71999, 7), y_val (24000, 7), y_test (24000, 7)
[1/740] Training loss: 4.8938	 Validation loss: 2.9805
[2/740] Training loss: 4.5861	 Validation loss: 2.7411
[3/740] Training loss: 4.2365	 Validation loss: 2.4587
[4/740] Training loss: 3.8269	 Validation loss: 2.1390
[5/740] Training loss: 3.3738	 Validation loss: 1.8055
[10/740] Training loss: 1.3484	 Validation loss: 0.5847
[15/740] Training loss: 0.5346	 Validation loss: 0.2910
[20/740] Training loss: 0.3172	 Validation loss: 0.2714
[25/740] Training loss: 0.2155	 Validation loss: 0.2416
[30/740] Training loss: 0.1480	 Validation loss: 0.2054
[35/740] Training loss: 0.1035	 Validation loss: 0.1743
[40/740] Training loss: 0.0745	 Validation loss: 0.1485
[45/740] Training loss: 0.0553	 Validation loss: 0.1275
[50/740] Training loss: 0.0423	 Validation loss: 0.1106
[55/740] Training loss: 0.0331	 Validation loss: 0.0971
[60/740] Training loss: 0.0265	 Validation loss: 0.0861
[65/740] Training loss: 0.0216	 Validation loss: 0.0772
[70/740] Training loss: 0.0178	 Validation loss: 0.0700
[75/740] Training loss: 0.0148	 Validation loss: 0.0641
[80/740] Training loss: 0.0125	 Validation loss: 0.0593
[85/740] Training loss: 0.0106	 Validation loss: 0.0553
[90/740] Training loss: 0.0091	 Validation loss: 0.0519
[95/740] Training loss: 0.0079	 Validation loss: 0.0490
[100/740] Training loss: 0.0068	 Validation loss: 0.0464
[105/740] Training loss: 0.0060	 Validation loss: 0.0441
[110/740] Training loss: 0.0053	 Validation loss: 0.0420
